frame,timestamp_sec,class,confidence,x1,y1,x2,y2
211,7.04,boneka-asli,0.8337,0,409,597,1080
211,7.04,boneka-asli,0.6367,1094,762,1847,1080
211,7.04,boneka-dummy,0.5986,1247,1,1706,135
211,7.04,boneka-asli,0.5600,439,204,892,821
212,7.08,boneka-dummy,0.6296,1214,1,1676,135
212,7.08,boneka-asli,0.5775,1180,752,1818,1080
212,7.08,boneka-dummy,0.5381,391,209,850,829
212,7.08,boneka-asli,0.5220,1001,858,1445,1080
213,7.11,boneka-asli,0.6185,1157,740,1802,1080
213,7.11,boneka-dummy,0.6142,1181,1,1621,135
214,7.14,boneka-dummy,0.6567,1149,2,1593,132
214,7.14,boneka-asli,0.5856,946,753,1755,1080
215,7.18,boneka-asli,0.6665,275,206,749,836
215,7.18,boneka-asli,0.5725,981,742,1703,1080
215,7.18,boneka-dummy,0.5625,1113,1,1563,129
215,7.18,boneka-asli,0.5154,888,853,1345,1080
216,7.21,boneka-asli,0.6790,235,200,705,843
216,7.21,boneka-asli,0.6031,900,722,1680,1080
216,7.21,boneka-dummy,0.5288,1067,0,1528,131
217,7.25,boneka-asli,0.6897,802,713,1632,1080
217,7.25,boneka-dummy,0.5738,175,205,671,852
217,7.25,boneka-dummy,0.5057,1021,1,1488,130
218,7.28,boneka-asli,0.5575,130,208,622,857
218,7.28,boneka-asli,0.5533,764,722,1615,1080
219,7.31,boneka-dummy,0.8273,92,209,578,866
219,7.31,boneka-asli,0.5867,738,741,1557,1080
220,7.35,boneka-asli,0.5943,834,722,1541,1080
220,7.35,boneka-asli,0.5223,59,206,547,872
221,7.38,boneka-dummy,0.7136,9,206,511,875
221,7.38,boneka-asli,0.6158,764,710,1510,1080
222,7.41,boneka-asli,0.6363,842,710,1477,1080
222,7.41,boneka-dummy,0.5552,0,200,482,880
222,7.41,boneka-dummy,0.5287,853,2,1299,133
223,7.45,boneka-asli,0.6994,706,711,1434,1080
223,7.45,boneka-dummy,0.6736,822,2,1251,133
223,7.45,boneka-asli,0.5631,0,200,462,891
223,7.45,boneka-dummy,0.5350,0,203,463,887
224,7.48,boneka-dummy,0.6400,790,0,1243,135
224,7.48,boneka-dummy,0.5747,0,209,429,897
224,7.48,boneka-asli,0.5514,800,702,1408,1080
225,7.51,boneka-dummy,0.7031,762,0,1219,140
225,7.51,boneka-asli,0.6547,800,707,1366,1080
225,7.51,boneka-dummy,0.6042,0,220,397,915
225,7.51,boneka-asli,0.5617,0,216,390,919
226,7.55,boneka-dummy,0.7457,0,221,367,956
226,7.55,boneka-dummy,0.6875,731,0,1181,142
226,7.55,boneka-asli,0.5184,0,218,368,947
227,7.58,boneka-dummy,0.7911,703,0,1147,153
227,7.58,boneka-dummy,0.6556,0,231,351,956
227,7.58,boneka-asli,0.6275,425,0,556,103
227,7.58,boneka-asli,0.5958,614,710,1344,1080
228,7.61,boneka-dummy,0.8098,673,0,1146,156
228,7.61,boneka-asli,0.6712,395,0,527,116
228,7.61,boneka-asli,0.6616,0,251,322,996
228,7.61,boneka-asli,0.6273,699,742,1271,1080
229,7.65,boneka-dummy,0.8565,646,0,1127,171
229,7.65,boneka-asli,0.7137,0,269,295,1034
229,7.65,boneka-asli,0.6261,744,756,1304,1080
229,7.65,boneka-asli,0.5678,367,0,503,132
230,7.68,boneka-asli,0.8175,0,302,282,1055
230,7.68,boneka-dummy,0.6548,631,10,1099,196
230,7.68,boneka-asli,0.5981,752,789,1292,1080
231,7.71,boneka-asli,0.7422,0,331,280,1080
231,7.71,boneka-dummy,0.5827,618,28,1080,210
231,7.71,boneka-asli,0.5153,685,816,1290,1080
232,7.75,boneka-dummy,0.8046,625,55,1082,245
232,7.75,boneka-asli,0.6216,753,827,1281,1080
232,7.75,boneka-dummy,0.6104,0,371,289,1080
232,7.75,boneka-asli,0.5825,0,376,285,1080
233,7.78,boneka-dummy,0.7813,0,409,323,1080
233,7.78,boneka-dummy,0.7141,641,89,1058,282
233,7.78,boneka-asli,0.6763,827,876,1309,1079
233,7.78,boneka-asli,0.6390,337,0,494,260
233,7.78,boneka-dummy,0.6371,1589,0,1754,53
234,7.81,boneka-dummy,0.8754,0,456,359,1080
235,7.85,boneka-dummy,0.7154,0,513,404,1080
235,7.85,boneka-asli,0.6376,0,509,402,1080
236,7.88,boneka-asli,0.8966,0,580,431,1080
236,7.88,boneka-dummy,0.6030,0,12,540,407
237,7.91,boneka-asli,0.8925,0,653,466,1080
237,7.91,boneka-asli,0.7202,1581,0,1738,223
238,7.95,boneka-asli,0.8103,8,715,528,1080
238,7.95,boneka-dummy,0.6352,771,310,1247,538
238,7.95,boneka-asli,0.5115,1620,47,1783,267
239,7.98,boneka-asli,0.7250,29,792,566,1079
239,7.98,boneka-asli,0.6069,1654,89,1800,319
239,7.98,boneka-asli,0.5819,1215,0,1326,187
240,8.01,boneka-asli,0.7111,1688,148,1836,364
240,8.01,boneka-asli,0.5935,157,870,607,1080
240,8.01,boneka-dummy,0.5412,857,431,1345,652
241,8.05,boneka-asli,0.5998,1717,191,1863,409
241,8.05,boneka-dummy,0.5481,909,479,1372,695
241,8.05,boneka-asli,0.5230,167,924,640,1080
242,8.08,boneka-dummy,0.7026,939,546,1403,731
242,8.08,boneka-asli,0.5041,233,1003,660,1080
243,8.11,boneka-dummy,0.6720,972,566,1450,737
244,8.15,boneka-dummy,0.6549,1015,554,1467,735
248,8.28,boneka-asli,0.7754,436,815,818,1078
249,8.31,boneka-asli,0.7995,451,761,852,1080
250,8.35,boneka-asli,0.7026,455,716,909,1080
250,8.35,boneka-dummy,0.6650,1168,324,1666,539
250,8.35,boneka-dummy,0.5832,1604,431,1918,767
251,8.38,boneka-asli,0.7851,450,675,908,1080
251,8.38,boneka-dummy,0.6183,1210,286,1716,500
251,8.38,boneka-dummy,0.5467,1110,0,1601,164
252,8.41,boneka-asli,0.8259,420,625,930,1080
252,8.41,boneka-dummy,0.6971,1359,247,1772,470
253,8.45,boneka-asli,0.8118,461,589,933,1080
253,8.45,boneka-dummy,0.6016,1266,211,1796,434
254,8.48,boneka-dummy,0.7261,1402,173,1817,397
254,8.48,boneka-asli,0.6238,470,555,969,1080
255,8.51,boneka-asli,0.7919,481,505,989,1080
255,8.51,boneka-dummy,0.6327,1427,129,1869,375
256,8.55,boneka-asli,0.7717,503,461,1012,1080
256,8.55,boneka-dummy,0.7648,1370,52,1919,358
257,8.58,boneka-dummy,0.7551,1426,0,1919,316
257,8.58,boneka-asli,0.6935,522,409,1036,1075
258,8.61,boneka-asli,0.8195,539,366,1069,1014
258,8.61,boneka-dummy,0.8144,1459,0,1919,310
259,8.65,boneka-dummy,0.7454,1506,0,1920,254
260,8.68,boneka-dummy,0.6961,1576,0,1919,193
260,8.68,boneka-dummy,0.6222,590,294,1135,905
261,8.71,boneka-dummy,0.7605,607,278,1174,894
261,8.71,boneka-dummy,0.5627,1590,0,1920,185
262,8.75,boneka-dummy,0.8571,632,267,1185,891
263,8.78,boneka-dummy,0.6794,638,251,1221,883
264,8.81,boneka-dummy,0.5768,647,235,1250,873
267,8.91,boneka-dummy,0.5684,675,225,1316,883
269,8.98,boneka-asli,0.6033,697,213,1400,889
272,9.08,boneka-asli,0.6701,743,167,1446,880
274,9.15,boneka-asli,0.5354,770,120,1429,864
275,9.18,boneka-asli,0.7420,772,91,1435,851
276,9.21,boneka-dummy,0.7378,783,74,1492,847
276,9.21,boneka-asli,0.5824,779,73,1471,835
277,9.25,boneka-asli,0.5606,781,48,1498,827
278,9.28,boneka-asli,0.6736,787,18,1450,808
278,9.28,boneka-dummy,0.5870,796,11,1469,810
279,9.32,boneka-dummy,0.8300,813,0,1491,776
279,9.32,boneka-asli,0.5871,803,0,1454,780
280,9.35,boneka-dummy,0.6859,819,0,1554,759
280,9.35,boneka-asli,0.5784,807,0,1489,749
281,9.38,boneka-dummy,0.6386,829,0,1559,729
282,9.42,boneka-dummy,0.6250,824,0,1587,716
282,9.42,boneka-asli,0.6182,0,0,906,1080
283,9.45,boneka-dummy,0.6827,829,0,1587,706
283,9.45,boneka-asli,0.6623,0,0,983,1080
284,9.48,boneka-dummy,0.7069,830,0,1625,715
284,9.48,boneka-asli,0.5491,0,0,992,1080
285,9.52,boneka-dummy,0.7889,836,0,1630,722
288,9.62,boneka-asli,0.7123,853,0,1642,783
288,9.62,boneka-dummy,0.5202,859,0,1632,783
289,9.65,boneka-asli,0.7956,854,0,1659,813
290,9.68,boneka-asli,0.8103,851,0,1652,833
291,9.72,boneka-asli,0.8327,860,0,1531,870
292,9.75,boneka-asli,0.7828,857,0,1526,911
293,9.78,boneka-asli,0.8153,858,22,1632,914
294,9.82,boneka-asli,0.7490,866,37,1628,923
295,9.85,boneka-asli,0.7614,860,57,1612,939
296,9.88,boneka-asli,0.7609,852,68,1574,952
297,9.92,boneka-asli,0.7328,825,87,1477,963
298,9.95,boneka-asli,0.6558,800,89,1556,947
299,9.98,boneka-asli,0.6974,779,104,1542,939
300,10.02,boneka-asli,0.7581,776,106,1404,927
301,10.05,boneka-asli,0.7740,755,92,1481,919
302,10.08,boneka-asli,0.7880,724,95,1461,914
303,10.12,boneka-asli,0.6622,689,98,1437,910
304,10.15,boneka-asli,0.7662,670,106,1400,910
305,10.18,boneka-asli,0.7775,650,113,1369,904
306,10.22,boneka-asli,0.8066,618,109,1347,908
307,10.25,boneka-asli,0.7153,598,110,1325,910
309,10.32,boneka-asli,0.7314,574,112,1297,914
309,10.32,boneka-asli,0.5514,0,98,692,1080
310,10.35,boneka-asli,0.5846,559,114,1276,919
313,10.45,boneka-asli,0.5377,498,110,1250,939
314,10.48,boneka-asli,0.7104,483,117,1250,945
314,10.48,boneka-asli,0.6094,0,185,585,1080
315,10.52,boneka-asli,0.8626,0,192,559,1080
315,10.52,boneka-asli,0.5892,475,124,1246,966
316,10.55,boneka-asli,0.8563,0,209,539,1080
316,10.55,boneka-dummy,0.5268,463,118,1226,965
317,10.58,boneka-asli,0.8581,0,218,545,1080
317,10.58,boneka-dummy,0.5670,450,122,1223,973
318,10.62,boneka-asli,0.8155,0,208,533,1080
318,10.62,boneka-asli,0.5357,436,140,1212,984
319,10.65,boneka-asli,0.8549,0,220,526,1080
319,10.65,boneka-dummy,0.6072,433,124,1205,982
320,10.68,boneka-asli,0.8473,0,208,523,1080
320,10.68,boneka-asli,0.6243,427,133,1205,971
321,10.72,boneka-asli,0.8861,0,187,542,1080
321,10.72,boneka-asli,0.6423,432,126,1203,962
322,10.75,boneka-asli,0.7739,441,116,1202,954
322,10.75,boneka-asli,0.7668,0,169,552,1080
323,10.78,boneka-asli,0.8243,0,158,552,1080
323,10.78,boneka-asli,0.6260,451,110,1209,943
324,10.82,boneka-asli,0.8464,0,156,567,1080
324,10.82,boneka-asli,0.5862,466,103,1238,931
325,10.85,boneka-asli,0.6067,0,112,578,1080
325,10.85,boneka-asli,0.5489,476,91,1245,922
326,10.88,boneka-asli,0.8477,0,145,597,1080
326,10.88,boneka-asli,0.7621,490,93,1264,919
327,10.92,boneka-asli,0.7842,0,53,633,1080
327,10.92,boneka-dummy,0.6610,518,72,1296,898
327,10.92,boneka-asli,0.6348,508,80,1273,900
328,10.95,boneka-asli,0.8608,0,63,666,1080
328,10.95,boneka-dummy,0.5644,548,53,1319,877
329,10.98,boneka-asli,0.7713,0,0,706,1080
329,10.98,boneka-asli,0.5952,577,52,1361,855
329,10.98,boneka-dummy,0.5459,576,30,1359,862
330,11.02,boneka-asli,0.8169,1,0,774,1080
330,11.02,boneka-asli,0.6422,625,15,1428,847
331,11.05,boneka-asli,0.8317,0,0,799,1080
331,11.05,boneka-asli,0.7602,668,0,1498,828
332,11.08,boneka-asli,0.8488,0,0,853,1080
332,11.08,boneka-asli,0.7648,733,0,1550,811
333,11.12,boneka-asli,0.7417,779,0,1627,803
333,11.12,boneka-asli,0.7057,2,0,916,1080
334,11.15,boneka-asli,0.6978,842,0,1720,801
334,11.15,boneka-asli,0.6920,0,0,983,1080
335,11.18,boneka-asli,0.7394,0,0,1027,1080
335,11.18,boneka-asli,0.6712,904,0,1776,794
335,11.18,boneka-dummy,0.6046,905,0,1776,791
336,11.22,boneka-dummy,0.6538,960,11,1845,776
336,11.22,boneka-asli,0.6351,976,0,1839,791
336,11.22,boneka-asli,0.5266,0,0,1119,1080
337,11.25,boneka-asli,0.6747,1023,0,1917,784
337,11.25,boneka-dummy,0.6636,1018,0,1909,774
337,11.25,boneka-asli,0.6534,1682,285,1920,1054
337,11.25,boneka-asli,0.5251,69,0,1172,1080
338,11.28,boneka-dummy,0.6691,1054,0,1917,775
338,11.28,boneka-asli,0.6603,1083,0,1919,783
339,11.32,boneka-dummy,0.7475,1118,0,1920,774
340,11.35,boneka-dummy,0.6286,1158,0,1919,777
340,11.35,boneka-asli,0.5105,1169,0,1920,782
341,11.39,boneka-dummy,0.6221,1213,0,1920,782
342,11.42,boneka-dummy,0.8203,1244,0,1919,798
343,11.45,boneka-dummy,0.8617,1287,0,1920,815
344,11.49,boneka-dummy,0.7667,1319,0,1920,834
345,11.52,boneka-dummy,0.8160,1341,0,1920,835
346,11.55,boneka-dummy,0.8526,1354,8,1920,847
347,11.59,boneka-dummy,0.8739,1365,83,1920,868
348,11.62,boneka-dummy,0.8571,1361,34,1920,896
349,11.65,boneka-dummy,0.8791,1349,35,1920,924
350,11.69,boneka-dummy,0.8599,1346,37,1920,939
351,11.72,boneka-dummy,0.8910,1355,61,1920,961
352,11.75,boneka-dummy,0.8680,1357,85,1920,974
353,11.79,boneka-dummy,0.8905,1382,91,1920,981
354,11.82,boneka-dummy,0.8728,1387,177,1920,985
355,11.85,boneka-dummy,0.8128,1440,251,1920,988
356,11.89,boneka-dummy,0.8313,1466,237,1920,979
